date,open,high,low,close,volume,stock,date_refreshed
2024-06-14,35.4900,35.5000,34.1500,34.6800,53534900,PETR4,2024-06-14
2024-06-13,35.9000,36.1900,34.8500,35.4600,46233500,PETR4,2024-06-14
2024-06-12,36.9500,37.0500,35.6100,35.8200,52182400,PETR4,2024-06-14
2024-06-11,37.8100,38.0000,37.5000,37.6600,31131300,PETR4,2024-06-14
2024-06-10,37.1900,38.0600,37.1200,37.5000,32560900,PETR4,2024-06-14
2024-06-07,38.2200,38.4700,36.8600,36.9400,46003600,PETR4,2024-06-14
2024-06-06,38.2800,38.7200,38.2700,38.3800,25944100,PETR4,2024-06-14
2024-06-05,38.2600,38.4300,38.0700,38.2000,18627100,PETR4,2024-06-14
2024-06-04,38.4000,38.4300,37.7000,38.1500,34090200,PETR4,2024-06-14
2024-06-03,38.8300,38.9300,38.4400,38.5800,43454500,PETR4,2024-06-14
2024-05-31,37.9300,38.8900,37.9000,38.7900,53929400,PETR4,2024-06-14
2024-05-29,37.7100,37.9200,37.4400,37.7500,29246800,PETR4,2024-06-14
2024-05-28,37.4400,38.2900,37.4100,37.8000,46437700,PETR4,2024-06-14
2024-05-27,36.7200,37.0800,36.6900,37.0100,13623300,PETR4,2024-06-14
2024-05-24,37.0700,37.1900,36.5700,36.6100,23684700,PETR4,2024-06-14
2024-05-23,37.4400,37.7100,36.5700,36.8100,47987800,PETR4,2024-06-14
2024-05-22,36.5000,37.4600,36.4100,37.1800,36528800,PETR4,2024-06-14
2024-05-21,36.7900,37.0900,36.5700,36.6800,27967400,PETR4,2024-06-14
2024-05-20,36.7300,37.2400,36.6300,36.7500,40400400,PETR4,2024-06-14
2024-05-17,37.3500,37.4200,36.5100,36.6900,67207900,PETR4,2024-06-14
2024-05-16,38.3000,38.6500,37.2400,37.2800,83168500,PETR4,2024-06-14
2024-05-15,37.6000,38.8100,37.5000,38.4000,131281100,PETR4,2024-06-14
2024-05-14,40.7600,41.3000,40.1600,40.8700,53613200,PETR4,2024-06-14
2024-05-13,41.7400,41.9700,41.5100,41.6200,18394300,PETR4,2024-06-14
2024-05-10,41.8400,42.0900,41.5000,41.5800,27968700,PETR4,2024-06-14
2024-05-09,41.0600,41.8400,40.9400,41.6700,27206400,PETR4,2024-06-14
2024-05-08,40.3500,41.3300,40.3100,41.2700,25352000,PETR4,2024-06-14
2024-05-07,40.1500,40.6500,40.0000,40.6500,23808600,PETR4,2024-06-14
2024-05-06,39.8700,40.3600,39.7200,40.1600,22977200,PETR4,2024-06-14
2024-05-03,40.6900,40.6900,39.4500,39.8900,45114200,PETR4,2024-06-14
2024-05-02,42.2500,42.3800,41.8400,42.1800,33244700,PETR4,2024-06-14
2024-04-30,42.0000,42.2100,41.6200,42.0200,36635400,PETR4,2024-06-14
2024-04-29,41.4800,42.1500,41.3200,42.1500,27886000,PETR4,2024-06-14
2024-04-26,41.2900,41.7800,41.0700,41.6500,31899100,PETR4,2024-06-14
2024-04-25,41.4000,42.4800,41.0800,42.2200,66372400,PETR4,2024-06-14
2024-04-24,41.5500,41.9900,41.2100,41.2300,45388300,PETR4,2024-06-14
2024-04-23,41.4000,41.6300,40.9600,41.4200,35456900,PETR4,2024-06-14
2024-04-22,40.7600,41.5900,40.5200,41.5000,51775500,PETR4,2024-06-14
2024-04-19,40.0500,41.0700,39.8400,40.5300,80546900,PETR4,2024-06-14
2024-04-18,40.0000,40.5900,39.6500,39.8500,45078800,PETR4,2024-06-14
2024-04-17,39.4900,39.9500,39.3400,39.7800,39221700,PETR4,2024-06-14
2024-04-16,39.0100,39.7100,38.9500,39.4900,37303000,PETR4,2024-06-14
2024-04-15,38.9400,39.4500,38.6300,39.3100,28692000,PETR4,2024-06-14
2024-04-12,39.7200,40.0500,38.7000,38.9400,39613500,PETR4,2024-06-14
2024-04-11,39.6000,39.7600,39.2000,39.3000,33195300,PETR4,2024-06-14
2024-04-10,38.7300,39.7300,38.6600,39.5900,55821500,PETR4,2024-06-14
2024-04-09,38.9000,39.1400,38.0600,38.7300,36989300,PETR4,2024-06-14
2024-04-08,38.0300,39.0600,37.7300,38.6300,36384400,PETR4,2024-06-14
2024-04-05,37.9000,38.5700,37.1700,38.1000,65469200,PETR4,2024-06-14
2024-04-04,38.4700,39.4800,37.4300,37.9800,165566800,PETR4,2024-06-14
2024-04-03,38.7000,39.0100,38.2200,38.4200,31437200,PETR4,2024-06-14
2024-04-02,37.8200,38.6500,37.7700,38.6200,45930700,PETR4,2024-06-14
2024-04-01,37.5000,37.7100,37.2100,37.6500,23697800,PETR4,2024-06-14
2024-03-28,36.5000,37.5200,36.4700,37.3600,31958200,PETR4,2024-06-14
2024-03-27,36.2800,36.6600,36.1200,36.5500,19995700,PETR4,2024-06-14
2024-03-26,36.6700,36.6700,36.1700,36.2600,24837800,PETR4,2024-06-14
2024-03-25,36.1800,36.8300,36.1600,36.6000,26951500,PETR4,2024-06-14
2024-03-22,35.9000,36.2200,35.4300,36.0500,34426800,PETR4,2024-06-14
2024-03-21,36.8500,37.0600,35.6800,35.7000,47220200,PETR4,2024-06-14
2024-03-20,36.2300,36.7400,35.8100,36.7000,39017900,PETR4,2024-06-14
2024-03-19,36.3900,36.8500,35.5600,36.0700,48540800,PETR4,2024-06-14
2024-03-18,36.4100,36.7200,35.5000,36.3400,35326100,PETR4,2024-06-14
2024-03-15,36.3000,36.4500,35.9400,36.3200,59362500,PETR4,2024-06-14
2024-03-14,36.7400,36.9200,36.1500,36.2200,39983400,PETR4,2024-06-14
2024-03-13,36.9000,37.3300,36.3100,36.3800,45140600,PETR4,2024-06-14
2024-03-12,36.3500,37.2300,36.1600,36.8200,76139100,PETR4,2024-06-14
2024-03-11,35.6700,37.7400,35.3000,35.6500,127528700,PETR4,2024-06-14
2024-03-08,35.9000,37.0600,35.1000,36.7000,230369800,PETR4,2024-06-14
2024-03-07,40.6400,40.9400,40.2800,40.3900,50199800,PETR4,2024-06-14
2024-03-06,40.2000,40.8400,40.1100,40.8400,45481000,PETR4,2024-06-14
2024-03-05,40.1000,40.3700,39.6100,39.9600,30293300,PETR4,2024-06-14
